Athlete Name,Nouns,Values,Adjectives,Sponsor,IG Followers,Practiced Sport,Nationality,Core Audience,Net Worth (Estimated),Age,Agent,Sports Sponsors
David Bakhtiari,"NFL, Offensive Tackle, American","Strength, Technique, Versatility","Reliable, Respected, Productive",Nike,1.3M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),33.0,Unknown,Nike
David Beckham,"Soccer, Midfielder, English","Skill, Technique, Leadership","Elegant, Iconic, Popular","Adidas, Hennes & Mauritz AB, Sainsbury, Samsung Electronics",82.4M,Soccer,English,"Soccer fans, sports enthusiasts, casual followers",$300 million (approx.),49.0,Simon Fuller,Adidas
David De Gea,"Soccer, Goalkeeper, Spanish","Skill, Reflexes, Consistency","Reliable, Respected, Productive","Adidas, PepsiCo",10.6M,Soccer,Spanish,"Soccer fans, sports enthusiasts, casual followers",$100 million (approx.),33.0,Jorge Mendes,Adidas
David DeCastro,"NFL, Offensive Guard, American","Strength, Technique, Versatility","Reliable, Respected, Productive",Nike,1.3M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),34.0,Unknown,Nike
David Ortiz,"MLB, Designated Hitter, Dominican Republic","Power, Hitting, Leadership","Dominant, Iconic, Inspirational","Buffalo Wild Wings, Dunkin Donuts, Fanatics, Coca-Cola, JetBlue Airways, Mastercard, New Balance",4.1M,Baseball,Dominican Republic,"Baseball fans, sports enthusiasts",$200 million (approx.),48.0,"Diego Bentz, Fernando Cuza","Fanatics, New Balance"
David Price,"MLB, Pitcher, American","Stuff, Movement, Consistency","Dominant, Reliable, Respected","Nike, Panini, Rawlings, Topps",1.4M,Baseball,American,"Baseball fans, sports enthusiasts",$200 million (approx.),39.0,Bo McKinnis,Nike
David Wright,"MLB, Third Baseman, American","Power, Hitting, Leadership","Consistent, Reliable, Respected","Wilson Sporting Goods, Nike",1.3M,Baseball,American,"Baseball fans, sports enthusiasts",$100 million (approx.),41.0,Sam & Seth Levinson,"Nike, Wilson Sporting Goods"
DeAndre Hopkins,"NFL, Wide Receiver, American","Speed, Agility, Catching","Dominant, Reliable, Productive","Beyond Meat, BioSteel, Oars + Alps, PLB Sports & Entertainment, SEQL, Therabody",4.1M,American Football,American,"NFL fans, sports enthusiasts",$100 million (approx.),32.0,Unknown,-1
DeAndre Jordan,"NBA, Center, American","Strength, Physicality, Rebounding","Dominant, Reliable, Respected",Nike,4.1M,Basketball,American,"NBA fans, sports enthusiasts",$100 million (approx.),36.0,"Jeff Schwartz, Sean Kennedy",Nike
DeAngelo Williams,"NFL, Running Back, American","Speed, Versatility, Leadership","Exciting, Inspirational, Respected",Nike,1.3M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),41.0,Unknown,Nike
DeMar DeRozan,"NBA, Shooting Guard, American","Scoring, Athleticism, Versatility","Exciting, Productive, Popular","Nike, Spalding",6.6M,Basketball,American,"NBA fans, sports enthusiasts",$100 million (approx.),35.0,Aaron Goodwin,Nike
DeMarcus Lawrence,"NFL, Defensive End, American","Strength, Power, Versatility","Dominant, Reliable, Respected",Nike,2.4M,American Football,American,NFL fans,Unknown,32.0,David Canter,Nike
DeMarcus Ware,"NFL, Linebacker, American","Speed, Athleticism, Versatility","Dominant, Inspirational, Respected",Nike,2.4M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),41.0,Unknown,Nike
DeMar DeRozan,"NBA, Shooting Guard, American","Scoring, Athleticism, Versatility","Exciting, Productive, Popular","Nike, Spalding",6.6M,Basketball,American,"NBA fans, sports enthusiasts",$100 million (approx.),35.0,Aaron Goodwin,Nike
Demaryius Thomas,"NFL, Wide Receiver, American","Speed, Strength, Catching","Dominant, Reliable, Respected",Under Armour,4.1M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),36.0,Todd France,Under Armour
Deontay Wilder,"Boxing, Boxer, American","Power, Punching, Intimidation","Dominant, Inspirational, Controversial",Everlast,7.6M,Boxing,American,"Boxing fans, sports enthusiasts",$100 million (approx.),39.0,Unknown,Everlast
Derek Carr,"NFL, Quarterback, American","Arm Strength, Accuracy, Leadership","Reliable, Respected, Productive","EECU, Oofos, Panini, Valley Children's Healthcare",5.3M,American Football,American,"NFL fans, sports enthusiasts",$100 million (approx.),33.0,Unknown,-1
Derek Jeter,"MLB, Shortstop, American","Skill, Leadership, Consistency","Legendary, Iconic, Respected","24 Hour Fitness, Avon Products, Gatorade, Movado, Nike, Rawlings",4.1M,Baseball,American,"Baseball fans, sports enthusiasts",$200 million (approx.),50.0,Unknown,Nike
Deron Williams,"NBA, Point Guard, American","Skill, Leadership, Versatility","Exciting, Inspirational, Respected","Nike, Red Bull",1.3M,Basketball,American,"NBA fans, sports enthusiasts",$100 million (approx.),40.0,Unknown,"Nike, Red Bull"
Derrick Rose,"NBA, Point Guard, American","Speed, Athleticism, Creativity","Exciting, Inspirational, Resilient","Adidas, Powerade",10.6M,Basketball,American,"NBA fans, sports enthusiasts",$100 million (approx.),36.0,B.J. Armstrong,Adidas
Deshaun Watson,"NFL, Quarterback, American","Arm Strength, Accuracy, Mobility","Talented, Exciting, Controversial",Nike,5.3M,American Football,American,"NFL fans, sports enthusiasts",$100 million (approx.),29.0,David Mulugheta,Nike
Devin Booker,"NBA, Shooting Guard, American","Scoring, Athleticism, Versatility","Exciting, Productive, Popular","2K Sports, Nike",8.3M,Basketball,American,"NBA fans, sports enthusiasts",$100 million (approx.),27.0,Jessica Holtz,Nike
Devin McCourty,"NFL, Safety, American","Speed, Athleticism, Versatility","Dominant, Reliable, Respected","PepsiCo, Visa",2.4M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),37.0,"Wesley Spencer, Andy Simms",Adidas
Dez Bryant,"NFL, Wide Receiver, American","Speed, Strength, Catching","Dominant, Controversial, Popular","Panini, BodyArmor, Nike",4.1M,American Football,American,"NFL fans, sports enthusiasts",$100 million (approx.),35.0,"Jay Z, Kim Miale",Nike
Didier Drogba,"Soccer, Forward, Ivorian","Strength, Finishing, Leadership","Dominant, Inspirational, Respected","Konami, Nike, PepsiCo",7.6M,Soccer,Ivorian,"Soccer fans, sports enthusiasts, casual followers",$100 million (approx.),46.0,Thierno Seydi,Nike
Dirk Nowitzki,"NBA, Power Forward, German","Shooting, Versatility, Leadership","Dominant, Iconic, Respected","Panini, Nike",10.6M,Basketball,German,"NBA fans, sports enthusiasts",$200 million (approx.),46.0,Unknown,Nike
Drew Brees,"NFL, Quarterback, American","Accuracy, Leadership, Versatility","Dominant, Iconic, Respected","AdvoCare, Carnival Corp., Marriott International, Nike, Smothie King, Verizon",10.6M,American Football,American,"NFL fans, sports enthusiasts",$200 million (approx.),45.0,"Tom Condon, Chris Stuart",Nike
Dustin Johnson,"Golf, Golfer, American","Skill, Consistency, Power","Dominant, Iconic, Popular","Hublot, TaylorMade",6.6M,Golf,American,"Golf fans, sports enthusiasts",$200 million (approx.),40.0,David Winkle,TaylorMade
Dwayne Bowe,"NFL, Wide Receiver, American","Speed, Strength, Catching","Dominant, Reliable, Respected",Nike,1.3M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),40.0,Todd France,Nike
Dwight Howard,"NBA, Center, American","Strength, Physicality, Rebounding","Dominant, Iconic, Controversial",Peak Sports,12.7M,Basketball,American,"NBA fans, sports enthusiasts",$100 million (approx.),38.0,Aaron Goodwin,Peak Sports
Dwyane Wade,"NBA, Shooting Guard, American","Athleticism, Scoring, Leadership","Dominant, Iconic, Inspirational","Gatorade, Hublot, Li Ning, New Era, Panini",10.6M,Basketball,American,"NBA fans, sports enthusiasts",$200 million (approx.),42.0,Henry Thomas,"Li Ning, New Era"
Earl Thomas,"NFL, Safety, American","Speed, Athleticism, Football IQ","Dominant, Inspirational, Respected",Nike,3.2M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),35.0,David Mulugheta,Nike
Eden Hazard,"Soccer, Winger, Belgian","Skill, Dribbling, Finishing","Exciting, Creative, Popular","Topps, Electronic Arts, Nike",58.4M,Soccer,Belgian,"Soccer fans, sports enthusiasts, casual followers",$100 million (approx.),33.0,Unknown,Nike
Eli Manning,"NFL, Quarterback, American","Arm Strength, Accuracy, Leadership","Experienced, Clutch, Popular","DIRECTV Group Inc., Gatorade, Hublot, Nationwide Mutual Insurance, Nike, Panini, Toyota Motor, Visa",5.3M,American Football,American,"NFL fans, sports enthusiasts",$150 million (approx.),43.0,Tom Condon,Nike
Eric Berry,"NFL, Safety, American","Speed, Athleticism, Versatility","Dominant, Inspirational, Respected",Adidas,2.4M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),35.0,Chad Speck,Adidas
Ernie Els,"Golf, Golfer, South African","Skill, Consistency, Power","Dominant, Iconic, Respected","Boeing, Callaway Golf, RBC, RBC, SAP",1.3M,Golf,South African,"Golf fans, sports enthusiasts",$100 million (approx.),55.0,"Robbie Henchman, Guy Kinnings, Jill Smoller",Callaway Golf
Ezekiel Elliott,"NFL, Running Back, American","Speed, Power, Elusive","Dominant, Exciting, Popular","BioSteel, Nike",10.6M,American Football,American,"NFL fans, sports enthusiasts",$100 million (approx.),29.0,Rocky Arceneaux,Nike
Felix Hernandez,"MLB, Pitcher, Venezuelan","Stuff, Movement, Consistency","Dominant, Reliable, Respected","Nike, Panini, Topps",1.4M,Baseball,Venezuelan,"Baseball fans, sports enthusiasts",$100 million (approx.),38.0,Scott Pucino,Nike
Fernando Alonso,"Formula 1, Driver, Spanish","Speed, Skill, Strategy","Dominant, Iconic, Inspirational",Adidas,12.7M,Formula 1,Spanish,"Formula 1 fans, racing enthusiasts",$200 million (approx.),43.0,Unknown,Adidas
Fernando Torres,"Soccer, Forward, Spanish","Finishing, Technique, Leadership","Clinical, Elegant, Inspirational","Nike, PepsiCo",12.3M,Soccer,Spanish,"Soccer fans, sports enthusiasts, casual followers",$100 million (approx.),40.0,Antonio Sanz,Nike
Fletcher Cox,"NFL, Defensive Tackle, American","Strength, Power, Disruption","Dominant, Reliable, Respected",Nike,2.4M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),33.0,"Todd France, Brian Ayrault",Nike
Floyd Mayweather,"Boxing, Boxer, American","Speed, Defense, Skill","Dominant, Controversial, Popular",Hublot,24.1M,Boxing,American,"Boxing fans, sports enthusiasts",$1 billion (approx.),47.0,Unknown,-1
Franck Ribery,"Soccer, Winger, French","Speed, Dribbling, Finishing","Exciting, Creative, Controversial",Nike,10.5M,Soccer,French,"Soccer fans, sports enthusiasts, casual followers",$100 million (approx.),41.0,Jean-Pierre Bernes,Nike
Frank Lampard,"Soccer, Midfielder, English","Skill, Technique, Leadership","Elegant, Inspirational, Respected","Adidas, PepsiCo",10.6M,Soccer,English,"Soccer fans, sports enthusiasts, casual followers",$100 million (approx.),46.0,Steve Kutner,Adidas
Gareth Bale,"Soccer, Winger, Welsh","Speed, Athleticism, Versatility","Exciting, Productive, Popular",Adidas,64.1M,Soccer,Welsh,"Soccer fans, sports enthusiasts, casual followers",$100 million (approx.),35.0,Jonathan Barnett,Adidas
Gennady Golovkin,"Boxing, Boxer, Kazakh","Power, Skill, Technique","Dominant, Respected, Popular","Hublot, Nike, Tecate",10.6M,Boxing,Kazakh,"Boxing fans, sports enthusiasts",$100 million (approx.),42.0,Unknown,Nike
Geno Atkins,"NFL, Defensive Tackle, American","Strength, Power, Disruption","Dominant, Reliable, Respected","Nike, Powerbar",2.4M,American Football,American,NFL fans,Unknown,36.0,"Pat Dye, Jr.",Nike
Gerald McCoy,"NFL, Defensive Tackle, American","Strength, Power, Disruption","Dominant, Reliable, Respected","Tide, Publix  Super Markets, Nike",2.4M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),36.0,"Tom Condon, Ben Dogra",Nike
Giancarlo Stanton,"MLB, Outfielder, American","Power, Hitting, Athleticism","Dominant, Iconic, Inspirational","Nike, Rawlings, T-Mobile",4.1M,Baseball,American,"Baseball fans, sports enthusiasts",$300 million (approx.),34.0,Joel Wolfe,Nike
Giannis Antetokounmpo,"NBA, Forward, Greek","Athleticism, Skill, Versatility","Dominant, Iconic, Inspirational","Amazon, Breitling, Come Ready Foods LLC, Google, LegalZoom.com Inc., Meta, Nike, PepsiCo, Unilever",20.8M,Basketball,Greek,"NBA fans, sports enthusiasts",$200 million (approx.),29.0,Alex Saratsis,Nike
Gilbert Arenas,"NBA, Point Guard, American","Scoring, Athleticism, Showmanship","Exciting, Controversial, Popular",Nike,2.4M,Basketball,American,"NBA fans, sports enthusiasts",$100 million (approx.),42.0,Unknown,Nike
Gordon Hayward,"NBA, Forward, American","Versatility, Shooting, Leadership","Reliable, Respected, Productive","Anta Sports Products, Chipotle Mexican Grill, Comcast, Electronic Arts, Fanatics, Panini",4.1M,Basketball,American,"NBA fans, sports enthusiasts",$100 million (approx.),34.0,Mark Bartelstein,Fanatics
Grady Jarrett,"NFL, Defensive Tackle, American","Strength, Power, Disruption","Dominant, Reliable, Respected",Nationwide Mutual Insurance,2.4M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),31.0,Todd France,-1
Haloti Ngata,"NFL, Defensive Tackle, American","Strength, Power, Disruption","Dominant, Reliable, Respected",Under Armour,1.3M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),40.0,Mike McCartney,Under Armour
Hanley Ramirez,"MLB, Third Baseman/Outfielder, Dominican Republic","Power, Versatility, Leadership","Consistent, Reliable, Respected","Wilson Sporting Goods, Franklin Sports, New Balance",1.3M,Baseball,Dominican Republic,"Baseball fans, sports enthusiasts",$100 million (approx.),40.0,Adam Katz,"New Balance, Wilson Sporting Goods, Franklin Sports"
Harrison Barnes,"NBA, Forward, American","Shooting, Versatility, Leadership","Reliable, Respected, Productive","Harman International, Hy-Vee, PepsiCo, United Sports Brands",4.1M,Basketball,American,"NBA fans, sports enthusiasts",$100 million (approx.),32.0,Jeff Schwartz,-1
Hassan Whiteside,"NBA, Center, American","Athleticism, Blocking, Physicality","Dominant, Controversial, Respected","Harman International, Nike, Panini",4.1M,Basketball,American,"NBA fans, sports enthusiasts",$100 million (approx.),35.0,"Jeff Schwartz, Sean Kennedy",Nike
Henrik Stenson,"Golf, Golfer, Swedish","Skill, Consistency, Power","Dominant, Iconic, Respected","Titleist, Audemars Piguet, FootJoy, Callaway Golf, Mutual of Omaha, Hugo Boss",1.3M,Golf,Swedish,"Golf fans, sports enthusiasts",$100 million (approx.),48.0,Unknown,Callaway Golf
Ichiro Suzuki,"MLB, Outfielder, Japanese","Hitting, Speed, Consistency","Legendary, Iconic, Respected",Nike,2.4M,Baseball,Japanese,"Baseball fans, sports enthusiasts",$150 million (approx.),51.0,Tony Attanasio,Nike
JD Martinez,"MLB, Outfielder, Dominican Republic","Power, Hitting, Versatility","Consistent, Reliable, Productive","Adidas, Anheuser Busch InBev, Ford Motor, T-Mobile",1.4M,Baseball,Dominican Republic,"Baseball fans, sports enthusiasts",$50 million (approx.),37.0,Scott Boras,Adidas
JJ Redick,"NBA, Shooting Guard, American","Shooting, Leadership, Versatility","Reliable, Respected, Productive",Adidas,4.1M,Basketball,American,"NBA fans, sports enthusiasts",$100 million (approx.),40.0,"Steven Heumann, Aaron Mintz",Adidas
JJ Watt,"NFL, Defensive End, American","Strength, Power, Disruption","Dominant, Iconic, Inspirational","American Family Insurance, Gatorade, Mizzen+Main, Reebok, Subway, Verizon Wireless, Wheels Up",10.6M,American Football,American,"NFL fans, sports enthusiasts",$100 million (approx.),35.0,Tom Condon,Reebok
Jacoby Ellsbury,"MLB, Outfielder, American","Speed, Athleticism, Versatility","Exciting, Productive, Popular","Rawlings, Nike",1.3M,Baseball,American,"Baseball fans, sports enthusiasts",$100 million (approx.),41.0,Scott Boras,Nike
Jahri Evans,"NFL, Offensive Guard, American","Strength, Technique, Versatility","Reliable, Respected, Productive",Nike,1.3M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),41.0,Unknown,Nike
Jairus Byrd,"NFL, Safety, American","Speed, Athleticism, Football IQ","Dominant, Inspirational, Respected","GMC, Nike",1.3M,American Football,American,"NFL fans, sports enthusiasts",$40 million (approx.),38.0,Eugene Parker,Nike
Jake Arrieta,"MLB, Pitcher, American","Stuff, Movement, Competitiveness","Fiery, Inspirational, Respected","Adidas, Bridgestone, Panini, Rawlings, Topps",1.4M,Baseball,American,"Baseball fans, sports enthusiasts",$50 million (approx.),38.0,Scott Boras,Adidas
Jake Delhomme,"NFL, Quarterback, American","Arm Strength, Accuracy, Leadership","Experienced, Respected, Productive",Nike,1.3M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),49.0,Unknown,Nike
Jake Peavy,"MLB, Pitcher, American","Stuff, Movement, Competitiveness","Fiery, Inspirational, Respected","Nike, Rawlings",1.4M,Baseball,American,"Baseball fans, sports enthusiasts",$30 million (approx.),43.0,Barry Axelrod,Nike
Jalen Ramsey,"NFL, Cornerback, American","Speed, Athleticism, Versatility","Dominant, Controversial, Popular","Activision Blizzard, BioSteel, Grubhub, Raising Cane's Chicken Fingers, Rally Rd.",4.1M,American Football,American,"NFL fans, sports enthusiasts",$100 million (approx.),29.0,David Mulugheta,-1
James Harden,"NBA, Shooting Guard, American","Scoring, Athleticism, Versatility","Dominant, Iconic, Controversial","Adidas, Art of Sport, Autograph, Gopuff, Panini, Pura, Saks Fifth Avenue, Therabody, Vanguart",13.9M,Basketball,American,"NBA fans, sports enthusiasts",$200 million (approx.),35.0,Unknown,Adidas
James Rodriguez,"Soccer, Midfielder, Colombian","Skill, Technique, Versatility","Exciting, Creative, Popular","Huawei Technologies, Calvin Klein, Adidas",24.1M,Soccer,Colombian,"Soccer fans, sports enthusiasts, casual followers",$100 million (approx.),33.0,Jorge Mendes,Adidas
Jared Goff,"NFL, Quarterback, American","Arm Strength, Accuracy, Mobility","Talented, Exciting, Productive","Abercrombie & Fitch, Fanatics, Ford Motor, Netflix, Panini, Procter & Gamble",5.3M,American Football,American,"NFL fans, sports enthusiasts",$100 million (approx.),30.0,Unknown,Fanatics
Jarvis Landry,"NFL, Wide Receiver, American","Catching, Athleticism, Versatility","Exciting, Reliable, Productive","Panini, TCL Corp, Nike",4.1M,American Football,American,"NFL fans, sports enthusiasts",$100 million (approx.),31.0,Damarius Bilbo,Nike
Jason Day,"Golf, Golfer, Australian","Skill, Consistency, Power","Dominant, Iconic, Inspirational","NetJets, TaylorMade, Concur Technologies,, Adidas, Lexus, Rolex, RBC, Zurich Insurance Group",2.4M,Golf,Australian,"Golf fans, sports enthusiasts",$200 million (approx.),36.0,Bud Martin,"Adidas, TaylorMade"
Jason Peters,"NFL, Offensive Tackle, American","Strength, Technique, Versatility","Reliable, Respected, Productive",Nike,1.3M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),42.0,Vincent Taylor,Nike
Jason Pierre-Paul,"NFL, Defensive End, American","Strength, Power, Disruption","Dominant, Reliable, Respected","FanDuel, Microsoft",2.4M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),35.0,Doug Hendrickson,-1
Jayson Werth,"MLB, Outfielder, American","Power, Versatility, Leadership","Consistent, Reliable, Respected","Rawlings, Adidas",1.3M,Baseball,American,"Baseball fans, sports enthusiasts",$30 million (approx.),45.0,Scott Boras,Adidas
Jeff Gordon,"NASCAR, Driver, American","Skill, Consistency, Charisma","Legendary, Successful, Popular","General Motors, PepsiCo",2.1M,NASCAR,American,"NASCAR fans, racing enthusiasts",$200 million (approx.),53.0,Unknown,-1
Jeremy Lin,"NBA, Point Guard, American","Skill, Creativity, Inspirational","Exciting, Inspirational, Popular","Tag Heuer, Adidas",4.1M,Basketball,American,"NBA fans, sports enthusiasts",$50 million (approx.),36.0,Jim Tanner,Adidas
Jermaine ONeal,"NBA, Center, American","Size, Athleticism, Defense","Dominant, Reliable, Respected",Nike,1.3M,Basketball,American,"NBA fans, sports enthusiasts",$100 million (approx.),46.0,Unknown,Nike
Jim Furyk,"Golf, Golfer, American","Skill, Consistency, Leadership","Reliable, Respected, Productive",Nike,1.3M,Golf,American,"Golf fans, sports enthusiasts",$100 million (approx.),54.0,Unknown,Nike
Jimmie Johnson,"NASCAR, Driver, American","Skill, Consistency, Charisma","Legendary, Successful, Popular","Chevrolet, Gatorade, Seiko Watch Corporation",2.1M,NASCAR,American,"NASCAR fans, racing enthusiasts",$200 million (approx.),49.0,Unknown,-1
Jimmy Butler,"NBA, Small Forward, American","Scoring, Athleticism, Versatility","Dominant, Controversial, Inspirational","Google, Hulu, Li Ning, Nestlé, State Farm Mutual Auto Insurance",7.6M,Basketball,American,"NBA fans, sports enthusiasts",$100 million (approx.),35.0,Unknown,Li Ning
Jimmy Garoppolo,"NFL, Quarterback, American","Arm Strength, Accuracy, Mobility","Talented, Exciting, Productive","New Era, Bose, Nike",4.1M,American Football,American,"NFL fans, sports enthusiasts",$100 million (approx.),32.0,Don Yee,"Nike, New Era"
Joe Flacco,"NFL, Quarterback, American","Arm Strength, Accuracy, Leadership","Experienced, Clutch, Popular",Nike,2.4M,American Football,American,"NFL fans, sports enthusiasts",$100 million (approx.),39.0,Joe Linta,Nike
Joe Haden,"NFL, Cornerback, American","Speed, Athleticism, Versatility","Dominant, Reliable, Respected",Nike,2.4M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),35.0,Drew Rosenhaus,Nike
Joe Johnson,"NBA, Shooting Guard, American","Scoring, Versatility, Leadership","Reliable, Respected, Productive",Nike,1.3M,Basketball,American,"NBA fans, sports enthusiasts",$100 million (approx.),43.0,"Jeff Schwartz, Thad Foucher",Nike
Joe Mauer,"MLB, Catcher, American","Hitting, Leadership, Defense","Dominant, Iconic, Inspirational",Nike,1.3M,Baseball,American,"Baseball fans, sports enthusiasts",$200 million (approx.),41.0,Ron Shapiro,Nike
Joe Thomas,"NFL, Offensive Tackle, American","Strength, Technique, Versatility","Reliable, Respected, Productive","Under Armour, Verizon Wireless",1.3M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),39.0,Peter Schaffer,Under Armour
Joel Embiid,"NBA, Center, Cameroonian","Skill, Athleticism, Versatility","Dominant, Exciting, Popular","CRYPTO.com, Skechers",12.3M,Basketball,Cameroonian,"NBA fans, sports enthusiasts",$200 million (approx.),30.0,"Zack Miller, Jill Smoller",-1
Joey Bosa,"NFL, Defensive End, American","Strength, Power, Disruption","Dominant, Reliable, Respected","Gamebreaker, Nike, Panini, Rock-Tenn",4.1M,American Football,American,"NFL fans, sports enthusiasts",$100 million (approx.),29.0,Unknown,Nike
Joey Votto,"MLB, First Baseman, Canadian","Hitting, Power, Leadership","Consistent, Reliable, Respected","Nike, Rawlings",1.3M,Baseball,Canadian,"Baseball fans, sports enthusiasts",$200 million (approx.),41.0,Dan Lozano,Nike
Johan Santana,"MLB, Pitcher, Venezuelan","Stuff, Movement, Consistency","Dominant, Iconic, Respected","New Balance , Rawlings",1.4M,Baseball,Venezuelan,"Baseball fans, sports enthusiasts",$100 million (approx.),45.0,Unknown,New Balance
John Terry,"Soccer, Defender, English","Leadership, Defensive Skills, Consistency","Dominant, Iconic, Respected",Umbro,4.1M,Soccer,English,"Soccer fans, sports enthusiasts, casual followers",$100 million (approx.),43.0,Paul Nicholls,-1
John Wall,"NBA, Point Guard, American","Speed, Athleticism, Creativity","Exciting, Inspirational, Respected",Hugo Boss,10.6M,Basketball,American,"NBA fans, sports enthusiasts",$100 million (approx.),34.0,Rich Paul,-1
Jon Beason,"NFL, Linebacker, American","Speed, Athleticism, Versatility","Dominant, Reliable, Respected",Nike,1.3M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),39.0,Unknown,Nike
Jon Lester,"MLB, Pitcher, American","Stuff, Movement, Consistency","Dominant, Reliable, Respected","Nike, Wilson Sporting Goods",1.4M,Baseball,American,"Baseball fans, sports enthusiasts",$100 million (approx.),40.0,Sam & Seth Levinson,"Nike, Wilson Sporting Goods"
Jonathan Joseph,"NFL, Cornerback, American","Speed, Athleticism, Versatility","Dominant, Reliable, Respected",Nike,1.3M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),40.0,Unknown,Nike
Jordan Spieth,"Golf, Golfer, American","Skill, Consistency, Charisma","Dominant, Iconic, Inspirational","AT&T, FanDuel, NetJets, Rolex, Titleist, Under Armour",6.6M,Golf,American,"Golf fans, sports enthusiasts",$200 million (approx.),31.0,Jay Danzi,Under Armour
Jose Reyes,"MLB, Shortstop, Dominican Republic","Speed, Athleticism, Versatility","Exciting, Productive, Popular","Rawlings, Under Armour",1.3M,Baseball,Dominican Republic,"Baseball fans, sports enthusiasts",$100 million (approx.),41.0,Peter Greenberg,Under Armour
Josh Hamilton,"MLB, Outfielder, American","Power, Hitting, Athleticism","Dominant, Iconic, Inspirational",Nike,1.3M,Baseball,American,"Baseball fans, sports enthusiasts",$200 million (approx.),43.0,Michael Moye,Nike
Jrue Holiday,"NBA, Point Guard, American","Skill, Athleticism, Versatility","Exciting, Productive, Popular","Carnival Corp., Panini, SeatGeek, Smothie King, Sprint",4.1M,Basketball,American,"NBA fans, sports enthusiasts",$100 million (approx.),34.0,Jason Glushon,-1
Julio Jones,"NFL, Wide Receiver, American","Speed, Strength, Catching","Dominant, Iconic, Respected",Nike,4.2M,American Football,American,"NFL fans, sports enthusiasts",$150 million (approx.),35.0,Jimmy Sexton,Nike
Julius Peppers,"NFL, Defensive End, American","Strength, Power, Versatility","Dominant, Iconic, Respected",Nike,2.4M,American Football,American,"NFL fans, sports enthusiasts",$100 million (approx.),44.0,Carl Carey,Nike
Justin Houston,"NFL, Linebacker, American","Speed, Power, Versatility","Dominant, Reliable, Respected",Nike,2.4M,American Football,American,"NFL fans, sports enthusiasts",$50 million (approx.),35.0,Joel Segal,Nike
Justin Rose,"Golf, Golfer, English","Skill, Consistency, Charisma","Dominant, Iconic, Inspirational","Bonobos, Hublot, Mastercard, Morgan Stanley, Zurich Insurance Group",2.4M,Golf,English,"Golf fans, sports enthusiasts",$100 million (approx.),44.0,Mark Steinberg,-1
Justin Thomas,"Golf, Golfer, American","Skill, Consistency, Power","Dominant, Iconic, Inspirational","FootJoy, Beats Electronics, Titleist, NetJets, Citigroup, Ralph Lauren",4.1M,Golf,American,"Golf fans, sports enthusiasts",$200 million (approx.),31.0,Mark Steinberg,Ralph Lauren
Justin Upton,"MLB, Outfielder, American","Power, Athleticism, Versatility","Exciting, Productive, Popular","Rawlings, Franklin Sports, Adidas",1.3M,Baseball,American,"Baseball fans, sports enthusiasts",$100 million (approx.),37.0,Larry Reynolds,"Adidas, Franklin Sports"
Justin Verlander,"MLB, Pitcher, American","Stuff, Movement, Consistency","Dominant, Iconic, Inspirational","Breitling, GSK, Rawlings, Supercuts, Under Armour, USAA",2.4M,Baseball,American,"Baseball fans, sports enthusiasts",$200 million (approx.),41.0,Mark Pieper,Under Armour
Kaka,"Soccer, Midfielder, Brazilian","Skill, Technique, Leadership","Elegant, Inspirational, Respected","Adidas, PepsiCo",10.6M,Soccer,Brazilian,"Soccer fans, sports enthusiasts, casual followers",$100 million (approx.),42.0,Diogo Kotscho,Adidas
Karl-Anthony Towns,"NBA, Center, American","Skill, Shooting, Physicality","Dominant, Inspirational, Respected","2K Sports, Beats Electronics, Gatorade, Nike, Panini, Secretlab, T-Mobile, YouTube",5.5M,Basketball,American,"NBA fans, sports enthusiasts",$100 million (approx.),28.0,Jessica Holtz,Nike
Kawhi Leonard,"NBA, Small Forward, American","Two-Way Play, Versatility, Leadership","Dominant, Iconic, Respected",New Balance,12.9M,Basketball,American,"NBA fans, sports enthusiasts",$200 million (approx.),33.0,Mitch Frankel,New Balance
